areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
nation,England,E92000001,2020-09-01,14,292418
nation,England,E92000001,2020-08-31,712,292404
nation,England,E92000001,2020-08-30,901,291692
nation,England,E92000001,2020-08-29,954,290791
nation,England,E92000001,2020-08-28,1274,289837
nation,England,E92000001,2020-08-27,1272,288563
nation,England,E92000001,2020-08-26,1120,287291
nation,England,E92000001,2020-08-25,1052,286171
nation,England,E92000001,2020-08-24,1077,285119
nation,England,E92000001,2020-08-23,681,284042
nation,England,E92000001,2020-08-22,714,283361
nation,England,E92000001,2020-08-21,997,282647
nation,England,E92000001,2020-08-20,1222,281650
nation,England,E92000001,2020-08-19,1076,280428
nation,England,E92000001,2020-08-18,923,279352
nation,England,E92000001,2020-08-17,1137,278429
nation,England,E92000001,2020-08-16,528,277292
nation,England,E92000001,2020-08-15,647,276764
nation,England,E92000001,2020-08-14,1045,276117
nation,England,E92000001,2020-08-13,1021,275072
nation,England,E92000001,2020-08-12,1083,274051
nation,England,E92000001,2020-08-11,1209,272968
nation,England,E92000001,2020-08-10,1353,271759
nation,England,E92000001,2020-08-09,555,270406
nation,England,E92000001,2020-08-08,639,269851
nation,England,E92000001,2020-08-07,859,269212
nation,England,E92000001,2020-08-06,978,268353
nation,England,E92000001,2020-08-05,940,267375
nation,England,E92000001,2020-08-04,917,266435
nation,England,E92000001,2020-08-03,939,265518
nation,England,E92000001,2020-08-02,511,264579
nation,England,E92000001,2020-08-01,493,264068
nation,England,E92000001,2020-07-31,624,263575
nation,England,E92000001,2020-07-30,857,262951
nation,England,E92000001,2020-07-29,970,262094
nation,England,E92000001,2020-07-28,781,261124
nation,England,E92000001,2020-07-27,807,260343
nation,England,E92000001,2020-07-26,516,259536
nation,England,E92000001,2020-07-25,492,259020
nation,England,E92000001,2020-07-24,717,258528
nation,England,E92000001,2020-07-23,735,257811
nation,England,E92000001,2020-07-22,747,257076
nation,England,E92000001,2020-07-21,691,256329
nation,England,E92000001,2020-07-20,756,255638
nation,England,E92000001,2020-07-19,414,254882
nation,England,E92000001,2020-07-18,469,254468
nation,England,E92000001,2020-07-17,549,253999
nation,England,E92000001,2020-07-16,644,253450
nation,England,E92000001,2020-07-15,722,252806
nation,England,E92000001,2020-07-14,648,252084
nation,England,E92000001,2020-07-13,691,251436
nation,England,E92000001,2020-07-12,353,250745
nation,England,E92000001,2020-07-11,427,250392
nation,England,E92000001,2020-07-10,526,249965
nation,England,E92000001,2020-07-09,687,249439
nation,England,E92000001,2020-07-08,674,248752
nation,England,E92000001,2020-07-07,558,248078
nation,England,E92000001,2020-07-06,660,247520
nation,England,E92000001,2020-07-05,540,246860
nation,England,E92000001,2020-07-04,390,246320
nation,England,E92000001,2020-07-03,549,245930
nation,England,E92000001,2020-07-02,565,245381
nation,England,E92000001,2020-07-01,623,244816
nation,England,E92000001,2020-06-30,571,244193
nation,England,E92000001,2020-06-29,673,243622
nation,England,E92000001,2020-06-28,410,242949
nation,England,E92000001,2020-06-27,505,242539
nation,England,E92000001,2020-06-26,645,242034
nation,England,E92000001,2020-06-25,637,241389
nation,England,E92000001,2020-06-24,731,240752
nation,England,E92000001,2020-06-23,729,240021
nation,England,E92000001,2020-06-22,821,239292
nation,England,E92000001,2020-06-21,548,238471
nation,England,E92000001,2020-06-20,635,237923
nation,England,E92000001,2020-06-19,829,237288
nation,England,E92000001,2020-06-18,945,236459
nation,England,E92000001,2020-06-17,909,235514
nation,England,E92000001,2020-06-16,994,234605
nation,England,E92000001,2020-06-15,935,233611
nation,England,E92000001,2020-06-14,745,232676
nation,England,E92000001,2020-06-13,793,231931
nation,England,E92000001,2020-06-12,940,231138
nation,England,E92000001,2020-06-11,914,230198
nation,England,E92000001,2020-06-10,1079,229284
nation,England,E92000001,2020-06-09,1055,228205
nation,England,E92000001,2020-06-08,997,227150
nation,England,E92000001,2020-06-07,668,226153
nation,England,E92000001,2020-06-06,728,225485
nation,England,E92000001,2020-06-05,1028,224757
nation,England,E92000001,2020-06-04,1148,223729
nation,England,E92000001,2020-06-03,1247,222581
nation,England,E92000001,2020-06-02,1357,221334
nation,England,E92000001,2020-06-01,1311,219977
nation,England,E92000001,2020-05-31,986,218666
nation,England,E92000001,2020-05-30,997,217680
nation,England,E92000001,2020-05-29,1373,216683
nation,England,E92000001,2020-05-28,1572,215310
nation,England,E92000001,2020-05-27,1610,213738
nation,England,E92000001,2020-05-26,1453,212128
nation,England,E92000001,2020-05-25,1377,210675
nation,England,E92000001,2020-05-24,1193,209298
nation,England,E92000001,2020-05-23,1296,208105
nation,England,E92000001,2020-05-22,1798,206809
nation,England,E92000001,2020-05-21,2266,205011
nation,England,E92000001,2020-05-20,2349,202745
nation,England,E92000001,2020-05-19,2579,200396
nation,England,E92000001,2020-05-18,2206,197817
nation,England,E92000001,2020-05-17,1584,195611
nation,England,E92000001,2020-05-16,1768,194027
nation,England,E92000001,2020-05-15,2126,192259
nation,England,E92000001,2020-05-14,2204,190133
nation,England,E92000001,2020-05-13,2879,187929
nation,England,E92000001,2020-05-12,2924,185050
nation,England,E92000001,2020-05-11,3062,182126
nation,England,E92000001,2020-05-10,2006,179064
nation,England,E92000001,2020-05-09,1789,177058
nation,England,E92000001,2020-05-08,2619,175269
nation,England,E92000001,2020-05-07,3197,172650
nation,England,E92000001,2020-05-06,3262,169453
nation,England,E92000001,2020-05-05,3145,166191
nation,England,E92000001,2020-05-04,2844,163046
nation,England,E92000001,2020-05-03,2632,160202
nation,England,E92000001,2020-05-02,2738,157570
nation,England,E92000001,2020-05-01,4091,154832
nation,England,E92000001,2020-04-30,4312,150741
nation,England,E92000001,2020-04-29,4742,146429
nation,England,E92000001,2020-04-28,4116,141687
nation,England,E92000001,2020-04-27,4031,137571
