Month,Monthly GDP
1997JAN,64.3701
1997FEB,65.241
1997MAR,65.5841
1997APR,65.7258
1997MAY,65.2434
1997JUN,65.7049
1997JUL,65.7525
1997AUG,65.8866
1997SEP,66.0957
1997OCT,66.2417
1997NOV,66.5193
1997DEC,66.9697
1998JAN,66.7171
1998FEB,67.4136
1998MAR,67.4106
1998APR,67.835
1998MAY,67.586
1998JUN,67.7409
1998JUL,68.179
1998AUG,68.287
1998SEP,68.3716
1998OCT,68.7004
1998NOV,68.9353
1998DEC,69.2546
1999JAN,69.1636
1999FEB,69.4007
1999MAR,69.3513
1999APR,68.9589
1999MAY,69.4665
1999JUN,69.6619
1999JUL,70.1198
1999AUG,70.4443
1999SEP,70.6059
1999OCT,71.2239
1999NOV,71.4532
1999DEC,71.4228
2000JAN,71.984
2000FEB,72.2714
2000MAR,72.0712
2000APR,72.5446
2000MAY,72.6924
2000JUN,72.8865
2000JUL,72.7492
2000AUG,73.4269
2000SEP,73.1316
2000OCT,73.2369
2000NOV,73.3904
2000DEC,73.6193
2001JAN,74.0075
2001FEB,74.1906
2001MAR,74.3701
2001APR,74.5514
2001MAY,74.6525
2001JUN,74.852
2001JUL,74.968
2001AUG,75.281
2001SEP,75.1639
2001OCT,75.4042
2001NOV,75.3464
2001DEC,75.31
2002JAN,75.6404
2002FEB,75.6736
2002MAR,75.9535
2002APR,76.4379
2002MAY,76.7968
2002JUN,75.1222
2002JUL,76.3017
2002AUG,76.6938
2002SEP,76.9676
2002OCT,77.1108
2002NOV,77.297
2002DEC,77.3612
2003JAN,77.6887
2003FEB,78.0133
2003MAR,77.8609
2003APR,78.4528
2003MAY,78.4091
2003JUN,78.9614
2003JUL,79.2543
2003AUG,79.4207
2003SEP,79.819
2003OCT,80.0208
2003NOV,79.9475
2003DEC,80.6016
2004JAN,80.262
2004FEB,80.4683
2004MAR,80.78
2004APR,80.6316
2004MAY,80.7106
2004JUN,81.0442
2004JUL,80.9092
2004AUG,80.9372
2004SEP,81.115
2004OCT,81.2473
2004NOV,81.3162
2004DEC,81.3906
2005JAN,82.3108
2005FEB,82.1438
2005MAR,81.8927
2005APR,83.0879
2005MAY,82.9781
2005JUN,83.3994
2005JUL,84.117
2005AUG,84.0522
2005SEP,84.2478
2005OCT,84.6593
2005NOV,85.5505
2005DEC,86.0898
2006JAN,85.7151
2006FEB,85.5408
2006MAR,85.829
2006APR,85.5853
2006MAY,85.8512
2006JUN,86.0775
2006JUL,85.5789
2006AUG,85.9347
2006SEP,86.1733
2006OCT,85.7981
2006NOV,86.0604
2006DEC,86.515
2007JAN,86.5787
2007FEB,86.9638
2007MAR,87.2685
2007APR,87.3299
2007MAY,87.4232
2007JUN,87.6008
2007JUL,87.7696
2007AUG,88.2969
2007SEP,88.5586
2007OCT,88.392
2007NOV,88.9408
2007DEC,89.2661
2008JAN,89.4114
2008FEB,89.6867
2008MAR,88.9046
2008APR,89.4889
2008MAY,88.6103
2008JUN,88.3659
2008JUL,87.6983
2008AUG,87.5182
2008SEP,86.6785
2008OCT,86.0289
2008NOV,85.2622
2008DEC,85.1931
2009JAN,84.6156
2009FEB,84.2838
2009MAR,83.4405
2009APR,84.4842
2009MAY,83.6491
2009JUN,83.8203
2009JUL,84.4362
2009AUG,83.9159
2009SEP,84.2222
2009OCT,84.3088
2009NOV,84.3297
2009DEC,84.744
2010JAN,84.0945
2010FEB,85.1705
2010MAR,85.8171
2010APR,85.7769
2010MAY,86.0641
2010JUN,86.2953
2010JUL,86.6399
2010AUG,86.7724
2010SEP,86.9289
2010OCT,87.1354
2010NOV,87.0059
2010DEC,86.2169
2011JAN,86.734
2011FEB,87.082
2011MAR,87.5581
2011APR,86.7518
2011MAY,87.5839
2011JUN,87.5109
2011JUL,87.8359
2011AUG,87.4783
2011SEP,87.6219
2011OCT,87.2016
2011NOV,88.1106
2011DEC,88.2713
2012JAN,88.418
2012FEB,88.1464
2012MAR,88.3961
2012APR,87.9708
2012MAY,88.989
2012JUN,87.5827
2012JUL,89.2377
2012AUG,89.7038
2012SEP,88.776
2012OCT,89.1936
2012NOV,89.2572
2012DEC,89.0532
2013JAN,89.2954
2013FEB,89.9356
2013MAR,89.8083
2013APR,89.9867
2013MAY,90.437
2013JUN,90.5696
2013JUL,90.933
2013AUG,91.2122
2013SEP,91.2265
2013OCT,91.7845
2013NOV,91.8167
2013DEC,91.6058
2014JAN,92.0187
2014FEB,92.3813
2014MAR,92.9337
2014APR,92.8447
2014MAY,93.1028
2014JUN,93.2768
2014JUL,93.6305
2014AUG,93.6038
2014SEP,93.7829
2014OCT,94.0742
2014NOV,94.2263
2014DEC,94.3377
2015JAN,94.3773
2015FEB,94.608
2015MAR,94.77
2015APR,95.3247
2015MAY,95.1891
2015JUN,95.2789
2015JUL,95.6617
2015AUG,95.4426
2015SEP,95.7404
2015OCT,96.0596
2015NOV,96.1234
2015DEC,96.3396
2016JAN,96.2512
2016FEB,96.5771
2016MAR,96.4139
2016APR,97.0156
2016MAY,96.6926
2016JUN,96.8172
2016JUL,96.9169
2016AUG,96.9785
2016SEP,97.276
2016OCT,97.2874
2016NOV,97.5473
2016DEC,98.0025
2017JAN,98.1514
2017FEB,97.9616
2017MAR,98.1177
2017APR,98.2406
2017MAY,98.5122
2017JUN,98.6115
2017JUL,98.7015
2017AUG,98.8765
2017SEP,99.1456
2017OCT,99.0324
2017NOV,99.294
2017DEC,99.4424
2018JAN,99.5152
2018FEB,99.2558
2018MAR,99.2397
2018APR,99.4478
2018MAY,99.665
2018JUN,99.9188
2018JUL,100.2585
2018AUG,100.3524
2018SEP,100.4128
2018OCT,100.693
2018NOV,100.7568
2018DEC,100.4841
2019JAN,100.8877
2019FEB,101.2882
2019MAR,101.465
2019APR,101.0154
2019MAY,101.2953
2019JUN,101.3805
2019JUL,101.667
2019AUG,101.5476
2019SEP,101.5671
2019OCT,101.7871
2019NOV,101.4508
2019DEC,101.5528
2020JAN,101.6523
2020FEB,101.3947
2020MAR,93.9931
2020APR,75.7041
2020MAY,77.7445
2020JUN,84.8003
2020JUL,90.1325
2020AUG,92.0744
2020SEP,93.0477
2020OCT,93.4276
